row_type,label,point_index,nll,nll_delta_vs_dense,arc_acc,arc_acc_norm,arc_sample_len,replaced_modules,skipped_modules,backend_counts,source
pareto,point_000,0,2.039499126068533,0.0,0.4291808873720136,0.4513651877133106,1172,0,0,{'dense_bf16': 224},018_full_arc_c
pareto,point_013,13,2.05133018568304,0.011831059614507033,0.4343003412969283,0.4505119453924914,1172,21,0,"{'dense_bf16': 203, 'sparse_bf16': 5, 'dense_nvfp4': 16}",018_full_arc_c
pareto,point_019,19,2.060249048669744,0.02074992260121089,0.4215017064846416,0.447098976109215,1172,64,0,"{'sparse_bf16': 11, 'dense_nvfp4': 53, 'dense_bf16': 160}",018_full_arc_c
pareto,point_020,20,2.062140813778991,0.022641687710458047,0.4266211604095563,0.4462457337883959,1172,77,0,"{'sparse_bf16': 13, 'dense_nvfp4': 64, 'dense_bf16': 147}",018_full_arc_c
pareto,point_024,24,2.1369150613385406,0.09741593527000747,0.401877133105802,0.431740614334471,1172,154,0,"{'sparse_bf16': 89, 'dense_nvfp4': 65, 'dense_bf16': 70}",018_full_arc_c
pareto,point_026,26,2.197527409532998,0.15802828346446507,0.35580204778157,0.409556313993174,1172,217,0,"{'sparse_bf16': 153, 'dense_nvfp4': 64, 'dense_bf16': 7}",018_full_arc_c
pareto,point_027,27,2.346925306226876,0.3074261801583429,0.3455631399317406,0.3745733788395904,1172,224,0,"{'sparse_bf16': 160, 'dense_nvfp4': 35, 'sparse_nvfp4': 29}",018_full_arc_c
pareto,point_028,28,2.595838722184213,0.5563395961156798,0.2858361774744027,0.3114334470989761,1172,224,0,"{'sparse_bf16': 160, 'dense_nvfp4': 6, 'sparse_nvfp4': 58}",018_full_arc_c
uniform,all_dense_bf16,101,2.039499126068533,0.0,0.4291808873720136,0.4513651877133106,1172,0,0,{'dense_bf16': 224},018_uniform_full_arc_c
uniform,all_dense_nvfp4,102,2.1214742753836973,0.08197514931516414,0.4163822525597269,0.4377133105802048,1172,224,0,{'dense_nvfp4': 224},018_uniform_full_arc_c
uniform,all_sparse_bf16,103,2.389798416316859,0.35029929024832596,0.2969283276450511,0.3378839590443686,1172,224,0,{'sparse_bf16': 224},018_uniform_full_arc_c
uniform,all_sparse_nvfp4,104,3.357909790457112,1.318410664388579,0.1843003412969283,0.2286689419795221,1172,224,0,{'sparse_nvfp4': 224},018_uniform_full_arc_c
uniform,all_marlin_nvfp4,105,2.09415725066004,0.05465812459150676,0.4283276450511945,0.4360068259385665,1172,224,0,{'marlin_nvfp4': 224},018_uniform_full_arc_c
