module_index,module_name,layer,module_type,prefill_method,decode_method,prefill_runtime,decode_runtime,quality_cost,latency_ms
0,model.layers.0.self_attn.qkv_proj,0,qkv_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.0009149826341309863,2.550706
1,model.layers.0.self_attn.o_proj,0,o_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.0001872711995839141,1.001202
2,model.layers.0.mlp.gate_up_proj,0,gate_up_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.004622030258253238,3.295666
3,model.layers.0.mlp.down_proj,0,down_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.0012785298594033504,2.475076
4,model.layers.1.self_attn.qkv_proj,1,qkv_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.0005401720430507568,2.727287
5,model.layers.1.self_attn.o_proj,1,o_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.002449665174309192,1.001202
6,model.layers.1.mlp.gate_up_proj,1,gate_up_proj,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,0.006579826209548279,3.295666
7,model.layers.1.mlp.down_proj,1,down_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,3.695712827809625e-06,2.475076
8,model.layers.2.self_attn.qkv_proj,2,qkv_proj,sparse_bf16,sparse_bf16,sparse_bf16,sparse_bf16,0.001585668014676645,2.727287
9,model.layers.2.self_attn.o_proj,2,o_proj,dense_bf16,dense_bf16,dense_bf16,dense_bf16,0.0,1.34235
10,model.layers.2.mlp.gate_up_proj,2,gate_up_proj,dense_nvfp4,dense_nvfp4,dense_nvfp4,dense_nvfp4,0.000961144941262136,4.158962
11,model.layers.2.mlp.down_proj,2,down_proj,dense_bf16,dense_bf16,dense_bf16,dense_bf16,0.0,3.551875
12,model.layers.3.self_attn.qkv_proj,3,qkv_proj,dense_nvfp4,dense_nvfp4,dense_nvfp4,dense_nvfp4,0.0005175655123160966,3.066038
13,model.layers.3.self_attn.o_proj,3,o_proj,dense_bf16,dense_bf16,dense_bf16,dense_bf16,0.0,1.34235
